,S&P 500 Price,,,DAX Price
04-07-17,2429.01,,04-07-17,12437.13
05-07-17,2432.54,,05-07-17,12453.68
06-07-17,2409.75,,06-07-17,12381.25
07-07-17,2425.18,,07-07-17,12388.68
08-07-17,2425.18,,08-07-17,12388.68
09-07-17,2425.18,,09-07-17,12388.68
10-07-17,2427.43,,10-07-17,12445.92
11-07-17,2425.53,,11-07-17,12437.02
12-07-17,2443.25,,12-07-17,12626.58
13-07-17,2447.83,,13-07-17,12641.33
14-07-17,2459.27,,14-07-17,12631.72
15-07-17,2459.27,,15-07-17,12631.72
16-07-17,2459.27,,16-07-17,12631.72
17-07-17,2459.14,,17-07-17,12587.16
18-07-17,2460.61,,18-07-17,12430.39
19-07-17,2473.83,,19-07-17,12452.05
20-07-17,2473.45,,20-07-17,12447.25
21-07-17,2472.54,,21-07-17,12240.06
22-07-17,2472.54,,22-07-17,12240.06
23-07-17,2472.54,,23-07-17,12240.06
24-07-17,2469.91,,24-07-17,12208.95
25-07-17,2477.13,,25-07-17,12264.31
26-07-17,2477.83,,26-07-17,12305.11
27-07-17,2475.42,,27-07-17,12212.04
28-07-17,2472.1,,28-07-17,12162.7
29-07-17,2472.1,,29-07-17,12162.7
30-07-17,2472.1,,30-07-17,12162.7
31-07-17,2470.3,,31-07-17,12118.25
01-08-17,2476.35,,01-08-17,12251.29
02-08-17,2477.57,,02-08-17,12181.48
03-08-17,2472.16,,03-08-17,12154.72
04-08-17,2476.83,,04-08-17,12297.72
05-08-17,2476.83,,05-08-17,12297.72
06-08-17,2476.83,,06-08-17,12297.72
07-08-17,2480.91,,07-08-17,12257.17
08-08-17,2474.92,,08-08-17,12292.05
09-08-17,2474.02,,09-08-17,12154
10-08-17,2438.21,,10-08-17,12014.3
11-08-17,2441.32,,11-08-17,12014.06
12-08-17,2441.32,,12-08-17,12014.06
13-08-17,2441.32,,13-08-17,12014.06
14-08-17,2465.84,,14-08-17,12165.12
15-08-17,2464.61,,15-08-17,12177.04
16-08-17,2468.11,,16-08-17,12263.86
17-08-17,2430.01,,17-08-17,12203.46
18-08-17,2425.55,,18-08-17,12165.19
19-08-17,2425.55,,19-08-17,12165.19
20-08-17,2425.55,,20-08-17,12165.19
21-08-17,2428.37,,21-08-17,12065.99
22-08-17,2452.51,,22-08-17,12229.34
23-08-17,2444.04,,23-08-17,12174.3
24-08-17,2438.97,,24-08-17,12180.83
25-08-17,2443.05,,25-08-17,12167.94
26-08-17,2443.05,,26-08-17,12167.94
27-08-17,2443.05,,27-08-17,12167.94
28-08-17,2444.24,,28-08-17,12123.47
29-08-17,2446.3,,29-08-17,11945.88
30-08-17,2457.59,,30-08-17,12002.47
31-08-17,2471.65,,31-08-17,12055.84
01-09-17,2476.55,,01-09-17,12142.64
02-09-17,2476.55,,02-09-17,12142.64
03-09-17,2476.55,,03-09-17,12142.64
04-09-17,2476.55,,04-09-17,12102.21
05-09-17,2457.85,,05-09-17,12123.71
06-09-17,2465.54,,06-09-17,12214.54
07-09-17,2465.1,,07-09-17,12296.63
08-09-17,2461.43,,08-09-17,12303.98
09-09-17,2461.43,,09-09-17,12303.98
10-09-17,2461.43,,10-09-17,12303.98
11-09-17,2488.11,,11-09-17,12475.24
12-09-17,2496.48,,12-09-17,12524.77
13-09-17,2498.37,,13-09-17,12553.57
14-09-17,2495.62,,14-09-17,12540.45
15-09-17,2500.23,,15-09-17,12518.81
16-09-17,2500.23,,16-09-17,12518.81
17-09-17,2500.23,,17-09-17,12518.81
18-09-17,2503.87,,18-09-17,12559.39
19-09-17,2506.65,,19-09-17,12561.79
20-09-17,2508.24,,20-09-17,12569.17
21-09-17,2500.6,,21-09-17,12600.03
22-09-17,2502.22,,22-09-17,12592.35
23-09-17,2502.22,,23-09-17,12592.35
24-09-17,2502.22,,24-09-17,12592.35
25-09-17,2496.66,,25-09-17,12594.81
26-09-17,2496.84,,26-09-17,12605.2
27-09-17,2507.04,,27-09-17,12657.41
28-09-17,2510.06,,28-09-17,12704.65
29-09-17,2519.36,,29-09-17,12828.86
30-09-17,2519.36,,30-09-17,12828.86
01-10-17,2519.36,,01-10-17,12828.86
02-10-17,2529.12,,02-10-17,12902.65
03-10-17,2534.58,,03-10-17,12902.65
04-10-17,2537.74,,04-10-17,12970.52
05-10-17,2552.07,,05-10-17,12968.05
06-10-17,2549.33,,06-10-17,12955.94
07-10-17,2549.33,,07-10-17,12955.94
08-10-17,2549.33,,08-10-17,12955.94
09-10-17,2544.73,,09-10-17,12976.4
10-10-17,2550.64,,10-10-17,12949.25
11-10-17,2555.24,,11-10-17,12970.68
12-10-17,2550.93,,12-10-17,12982.89
13-10-17,2553.17,,13-10-17,12991.87
14-10-17,2553.17,,14-10-17,12991.87
15-10-17,2553.17,,15-10-17,12991.87
16-10-17,2557.64,,16-10-17,13003.7
17-10-17,2559.36,,17-10-17,12995.06
18-10-17,2561.26,,18-10-17,13043.03
19-10-17,2562.1,,19-10-17,12990.1
20-10-17,2575.21,,20-10-17,12991.28
21-10-17,2575.21,,21-10-17,12991.28
22-10-17,2575.21,,22-10-17,12991.28
23-10-17,2564.98,,23-10-17,13003.14
24-10-17,2569.13,,24-10-17,13013.19
25-10-17,2557.15,,25-10-17,12953.41
26-10-17,2560.4,,26-10-17,13133.28
27-10-17,2581.07,,27-10-17,13217.54
28-10-17,2581.07,,28-10-17,13217.54
29-10-17,2581.07,,29-10-17,13217.54
30-10-17,2572.83,,30-10-17,13229.57
31-10-17,2575.26,,31-10-17,13229.57
01-11-17,2579.36,,01-11-17,13465.51
02-11-17,2579.85,,02-11-17,13440.93
03-11-17,2587.84,,03-11-17,13478.86
04-11-17,2587.84,,04-11-17,13478.86
05-11-17,2587.84,,05-11-17,13478.86
06-11-17,2591.13,,06-11-17,13468.79
07-11-17,2590.64,,07-11-17,13379.27
08-11-17,2594.38,,08-11-17,13382.42
09-11-17,2584.62,,09-11-17,13182.56
10-11-17,2582.3,,10-11-17,13127.47
11-11-17,2582.3,,11-11-17,13127.47
12-11-17,2582.3,,12-11-17,13127.47
13-11-17,2584.84,,13-11-17,13074.42
14-11-17,2578.87,,14-11-17,13033.48
15-11-17,2564.62,,15-11-17,12976.37
16-11-17,2585.64,,16-11-17,13047.22
17-11-17,2578.85,,17-11-17,12993.73
18-11-17,2578.85,,18-11-17,12993.73
19-11-17,2578.85,,19-11-17,12993.73
20-11-17,2582.14,,20-11-17,13058.66
21-11-17,2599.03,,21-11-17,13167.54
22-11-17,2597.08,,22-11-17,13015.04
23-11-17,2597.08,,23-11-17,13008.55
24-11-17,2602.42,,24-11-17,13059.84
25-11-17,2602.42,,25-11-17,13059.84
26-11-17,2602.42,,26-11-17,13059.84
27-11-17,2601.42,,27-11-17,13000.2
28-11-17,2627.04,,28-11-17,13059.53
29-11-17,2626.07,,29-11-17,13061.87
30-11-17,2647.58,,30-11-17,13023.98
01-12-17,2642.22,,01-12-17,12861.49
02-12-17,2642.22,,02-12-17,12861.49
03-12-17,2642.22,,03-12-17,12861.49
04-12-17,2639.44,,04-12-17,13058.55
05-12-17,2629.57,,05-12-17,13048.54
06-12-17,2629.27,,06-12-17,12998.85
07-12-17,2636.98,,07-12-17,13045.15
08-12-17,2651.5,,08-12-17,13153.7
09-12-17,2651.5,,09-12-17,13153.7
10-12-17,2651.5,,10-12-17,13153.7
11-12-17,2659.99,,11-12-17,13123.65
12-12-17,2664.11,,12-12-17,13183.53
13-12-17,2662.85,,13-12-17,13125.64
14-12-17,2652.01,,14-12-17,13068.08
15-12-17,2675.81,,15-12-17,13103.56
16-12-17,2675.81,,16-12-17,13103.56
17-12-17,2675.81,,17-12-17,13103.56
18-12-17,2690.16,,18-12-17,13312.3
19-12-17,2681.47,,19-12-17,13215.79
20-12-17,2679.25,,20-12-17,13069.17
21-12-17,2684.57,,21-12-17,13109.74
22-12-17,2683.34,,22-12-17,13072.79
23-12-17,2683.34,,23-12-17,13072.79
